"2017년"," 기소_구공판 구속 "," 기소_구공판 불구속 "," 기소_구약식 "," 소년보호송치 "," 가정보호송치 "," 성매매보호송치 "," 아동보호송치 "," 불기소_기소유예 "," 불기소_혐의없음 "," 불기소_죄가안됨 "," 불기소_공소권없음 "," 기소중지 "," 참고인중지 "," 공소보류 ",
"강간등살인"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"강간등치사"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"특수강도강간등"," - "," - "," - "," - "," - "," - "," - "," - ","1"," - "," - "," - "," - "," - ",
"카메라등이용촬영","11","61","15","10"," - "," - "," - ","66","21","1","1","1"," - "," - ",
"성적목적의장소침입"," - ","2","3"," - "," - "," - "," - "," - ","8"," - "," - ","1"," - "," - ",
"통신매체이용음란","1","4","10","3"," - "," - "," - ","15","4"," - ","1","3"," - "," - ",
"공중밀집장소추행","2","15","4"," - "," - "," - "," - ","8","5"," - ","1","1"," - "," - ",
"폭행","12","293","998","70","249"," - ","4","548","503","37","4802","22","2"," - ",
"폭행치상"," - ","8","11","1","1"," - "," - ","21","10"," - ","3"," - "," - "," - ",
"폭행치사","1"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"상해","24","249","467","45","75"," - "," - ","455","152","10","57","17"," - "," - ",
"상해치사","3","1"," - "," - "," - "," - "," - "," - ","2"," - ","1"," - "," - "," - ",
"협박","12","60","124","6","44"," - "," - ","42","102"," - ","115","2"," - "," - ",
"공갈","4","8","6","29"," - "," - "," - ","22","61"," - "," - ","14","1"," - ",
"약취/유인","1","7"," - "," - "," - "," - "," - ","2","10"," - "," - "," - "," - "," - ",
"수수/은닉"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"부녀매매"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"국외이송"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"인신매매"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"약취와유인상해,치상,살해,치사"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"체포"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"체포치상"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"체포치사"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"감금","3","4","9"," - ","1"," - "," - ","14","57","1","1"," - "," - "," - ",
"감금치상","2"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ","1"," - "," - ",
"감금치사"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"폭력행위등(손괴,강요,주거침입등)","2","20","14"," - "," - "," - "," - ","27","45","3","1"," - "," - "," - ",
"폭력행위등(단체등의구성,활동)"," - ","1"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"통화"," - "," - "," - "," - "," - "," - "," - ","128","2"," - ","4","34"," - "," - ",
"유가증권인지우표","1","6"," - "," - "," - "," - "," - ","1","8"," - "," - ","3"," - "," - ",
"문서","6","48","50","6"," - "," - "," - ","53","305","3","31","16","7"," - ",
"인장"," - ","10","1"," - "," - "," - "," - ","3","9"," - "," - ","3"," - "," - ",
"직무유기"," - ","1"," - "," - "," - "," - "," - "," - ","38"," - ","1"," - "," - "," - ",
"직권남용"," - "," - "," - "," - "," - "," - "," - "," - ","57"," - "," - "," - "," - "," - ",
"수뢰","3","2"," - "," - "," - "," - "," - ","1","8"," - ","2"," - "," - "," - ",
"증뢰","1","8","2"," - "," - "," - "," - "," - ","3"," - "," - "," - "," - "," - ",
"도박","2","22","196"," - "," - "," - "," - ","179","58"," - ","2","7"," - "," - ",
"복표"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"신앙"," - ","1","1"," - "," - "," - "," - ","1","4","4"," - "," - "," - "," - ",
"공연음란","3","22","30","1"," - "," - "," - ","21","5"," - "," - "," - "," - "," - ",
"과실치상"," - ","2","19"," - "," - "," - "," - ","5","5"," - ","52"," - "," - "," - ",
"과실치사"," - ","2"," - "," - "," - "," - "," - "," - ","1"," - ","1"," - "," - "," - ",
"업무상과실치상"," - ","6","20"," - "," - "," - "," - ","20","38"," - "," - ","2"," - "," - ",
"업무상과실치사"," - ","10","16"," - "," - "," - "," - ","2","12"," - ","4","3"," - "," - ",
"실화"," - "," - ","17"," - "," - "," - "," - ","12","2"," - "," - "," - "," - "," - ",
"명예","1","18","271","6"," - "," - "," - ","89","306","11","403","44"," - "," - ",
"권리행사방해","1","23","47","1"," - "," - "," - ","14","188"," - ","4","55","6"," - ",
"신용업무경매","13","109","259","1"," - "," - "," - ","178","389","7","13","4","1"," - ",
"주거침입","6","22","114","2"," - "," - "," - ","89","90","2","6","3"," - "," - ",
"비밀침해"," - "," - ","2"," - "," - "," - "," - ","1","7"," - "," - "," - "," - "," - ",
"유기"," - "," - "," - "," - "," - "," - ","1","1","2"," - "," - ","1"," - "," - ",
"유기치상"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"유기치사"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"교통방해"," - "," - ","7"," - "," - "," - "," - "," - ","4"," - ","1"," - "," - "," - ",
"공무방해","21","295","83","5"," - "," - "," - ","31","54"," - ","3","2"," - "," - ",
"공무방해치상","1","4"," - ","1"," - "," - "," - ","1","2"," - "," - ","1"," - "," - ",
"공무방해치사"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"도주와범인은닉"," - ","9","5","2"," - "," - "," - ","3"," - "," - "," - "," - "," - "," - ",
"위증과증거인멸"," - ","27","16","1"," - "," - "," - "," - ","74"," - ","1","3","1"," - ",
"무고","1","32","20"," - "," - "," - "," - ","3","172"," - ","2"," - "," - "," - ",
"공안을해하는죄"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"내란의죄"," - "," - "," - "," - "," - "," - "," - "," - ","1"," - "," - "," - "," - "," - ",
"음용수에관한죄"," - "," - "," - "," - "," - "," - "," - "," - "," - ","1"," - "," - "," - "," - ",
"일수와수리에관한죄"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"기타"," - "," - "," - "," - "," - "," - "," - "," - ","3"," - "," - "," - "," - "," - ",
"가정폭력범죄의처벌등에관한특례법"," - "," - ","3"," - "," - "," - "," - ","1"," - "," - "," - "," - "," - "," - ",
"가축분뇨의관리및이용에관한법률"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"감염병의예방및관리에관한법률"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"개발제한구역의지정및관리에관한특별조치법"," - "," - ","7"," - "," - "," - "," - "," - ","1"," - "," - "," - "," - "," - ",
"개인정보보호법"," - "," - ","5"," - "," - "," - "," - ","2","50"," - "," - "," - ","1"," - ",
"건강기능식품에관한법률"," - "," - ","14"," - "," - "," - "," - ","4","4"," - "," - "," - "," - "," - ",
"건설기계관리법"," - "," - ","4"," - "," - "," - "," - ","2","12"," - "," - "," - "," - "," - ",
"건설산업기본법"," - ","2","22"," - "," - "," - "," - ","1","13"," - ","2"," - "," - "," - ",
"건축법"," - ","1","71"," - "," - "," - "," - ","15","40"," - ","9"," - "," - "," - ",
"게임산업진흥에관한법률","4","6","161","1"," - "," - "," - ","63","33","1","2","3","1"," - ",
"결혼중개업의관리에관한법률"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"경범죄처벌법"," - ","3","154","1"," - "," - "," - ","26","26"," - ","12","4"," - "," - ",
"고용보험법"," - "," - ","21"," - "," - "," - "," - ","2","8"," - ","1"," - "," - "," - ",
"공유수면관리및매립에관한법률"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"공유재산및물품관리법"," - "," - ","1"," - "," - "," - "," - ","1"," - "," - "," - "," - "," - "," - ",
"공인중개사법"," - "," - ","15"," - "," - "," - "," - ","4","24"," - "," - "," - "," - "," - ",
"공중위생관리법"," - "," - ","7"," - "," - "," - "," - ","3","1"," - ","1"," - "," - "," - ",
"공직선거법"," - ","12"," - "," - "," - "," - "," - "," - ","2"," - "," - "," - "," - "," - ",
"관세법"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"교통사고처리특례법","4","147","1092","30"," - "," - "," - ","286","207","1","3794","43","1"," - ",
